eid,source,target,dir,capacity,speed_mph,cost_time,btw
42332,23688,23841,1,950,20,2.05009589592,26109.5
26716,23689,3538,1,1900,30,0.737911317256,315812.0
23421,23689,8646,1,5400,40,0.0933264649763,72838.0
52982,23689,10534,1,1900,30,0.300846696121,766064.0
51332,23690,8297,1,950,20,0.10232072475199999,65687.0
46882,23690,14938,1,950,20,0.580808599806,39310.0
83659,23691,22916,1,1900,30,0.37953023156800003,476359.5
38423,23691,22037,1,1900,30,0.838811685499,496288.0
38924,23691,22294,1,950,20,1.26986175713,73061.0
18399,23692,21126,1,1900,30,3.03737351682,32763.0
46462,23692,14727,1,1900,30,0.9272265526890001,44441.5
6019,23693,23244,1,1900,30,0.0985498440072,2294573.0
69099,23693,18676,1,1900,30,0.029663315568,152395.0
18069,23693,13661,1,5400,40,0.115696948669,11827317.0
13739,23694,22958,1,1900,30,0.23087737206,5938404.0
22116,23695,17556,1,5400,40,0.619038162294,1504652.0
70501,23695,10518,1,5400,40,0.317398564825,1121769.5
80405,23696,11424,1,1900,30,0.644078130791,2162935.0
34455,23696,22356,1,1900,30,0.526759970812,2320743.5
40477,23697,11352,1,950,20,6.4137192584500005,32621.0
85011,23697,2083,1,950,20,1.8216308857299999,58046.0
55884,23698,11099,1,8100,40,0.518168839676,1062144.5
8303,23699,15113,1,950,20,0.562662053112,0.0
61971,23699,21157,1,5400,40,0.799034806416,176785.0
8639,23699,3871,1,5400,40,0.252221223101,239545.0
30322,23700,18255,1,950,20,0.0886130810042,62686.5
80083,23701,18291,1,1900,30,0.7267994201510001,513366.0
32562,23701,16421,1,950,20,0.149586825209,113798.0
79419,23701,1534,1,950,20,0.41115015691699996,79506.0
33432,23701,3861,1,1900,30,0.44982616302199996,198001.0
38866,23702,1329,1,5400,40,0.69211110082,4726354.0
65963,23702,23703,1,5400,40,0.166402090527,2360872.5
39254,23703,21536,1,5400,40,0.179002686206,2364371.0
39279,23703,21597,1,1900,30,0.31598792059,13922.0
13730,23703,23702,1,5400,40,0.166402090527,4744555.0
64205,23704,21626,1,1900,30,0.107808922184,70617.0
49562,23704,23018,1,950,20,0.052320862809100005,385251.0
45454,23704,9374,1,5400,40,0.105477028837,783321.0
55748,23705,195,1,5400,40,0.0994661226583,5492701.5
83603,23706,23528,1,1900,30,0.171557413407,80910.5
38354,23706,23642,1,1900,30,0.552833032369,416439.0
38871,23706,21789,1,950,20,0.470233800147,4.0
40529,23707,10141,1,6900,60,0.178193769026,40779988.0
50889,23708,22347,1,8100,40,0.2042499428,3109916.0
55736,23708,19036,1,5400,40,0.143347680973,2282262.5
26650,23709,3987,1,5400,40,0.107161776383,1478941.0
57825,23710,11520,1,5400,40,0.187719759454,532940.5
2576,23710,23838,1,5400,40,1.30984567991,455207.0
24185,23710,20143,1,1900,30,4.01765786468,60712.0
66371,23711,19673,1,1900,30,0.503413215913,42916.0
14310,23711,20602,1,1900,30,0.0305254608231,55090.0
51546,23712,21145,1,1900,30,0.0849274910429,126943.5
16298,23712,23659,1,1900,30,0.149051946012,395170.0
1881,23712,23517,1,1900,30,0.0163701972013,100260.0
8915,23713,18330,1,5400,40,0.13914969185,461758.0
62511,23713,24102,1,5400,40,0.0266767069918,697935.5
75589,23714,11296,1,1900,30,0.0961486295997,112009.5
27155,23714,14739,1,1900,30,1.38351174442,105882.0
36036,23715,258,1,5400,40,0.306303166823,6625177.5
12632,23716,21480,1,5400,40,0.0110901821737,8249047.5
26248,23717,15832,1,950,20,1.60178854269,10707.0
32367,23717,14971,1,950,20,0.11167694721100001,30658.0
77555,23717,15014,1,950,20,0.07111337253939999,19422.5
12633,23718,22760,1,5400,40,0.21881766285,8247112.5
91351,23719,11672,1,5400,40,0.039931237002,207144.0
50435,23719,24850,1,5400,40,0.10817347511299999,390253.0
49823,23719,4604,1,5400,40,0.128270058248,500646.0
317,23720,6954,1,5400,40,0.0757200322563,11784760.5
21511,23720,24418,1,1900,30,0.178597193769,0.0
19030,23721,19992,1,1900,30,0.06109843963119999,666723.0
9809,23722,24226,1,5400,40,0.28095877130999997,3439299.0
34388,23722,20844,1,8100,40,0.480900746715,342310.5
42811,23723,16171,1,1900,30,0.059824202131599995,318070.0
86355,23723,19189,1,1900,30,0.0496468892162,152323.5
86565,23723,15509,1,1900,30,0.6552171600810001,450207.0
589,23724,22754,1,1900,30,0.0447633164274,677860.0
56359,23724,24255,1,1900,30,0.545451286784,796948.5
41426,23725,10720,1,1900,30,0.07028699874580001,273313.0
92957,23725,12473,1,1900,30,0.290734286776,310780.0
48247,23726,4216,1,1900,30,0.11083908559800001,4891.0
91485,23726,8722,1,950,20,2.00851759541,15.0
50037,23726,4231,1,950,20,0.066395434465,21244.5
46772,23727,6546,1,6900,60,0.49673962422,15533572.0
27826,23728,24321,1,1900,30,0.6359015193399999,373338.5
69305,23728,16628,1,950,20,3.0073197206700004,0.0
76083,23728,14065,1,1900,30,0.805954907395,558423.0
