eid,source,target,dir,capacity,speed_mph,cost_time,btw
9142,6405,6406,1,6900,60,0.0952790625639,2116323.0
8967,6406,657,1,6900,60,0.010884872206299998,2116151.0
13578,6407,4894,1,6900,60,0.31997895952,707808.0
13294,6408,6857,1,950,20,0.107933557591,10325.0
466,6409,8272,1,950,20,0.08001326402589999,20650.0
6006,6409,6330,1,950,20,6.2700616686399995,0.0
12510,6410,659,1,6900,60,0.00677658344711,1976368.0
5659,6411,4428,1,6900,60,0.06725239268830001,1976024.0
13296,6412,1901,1,950,20,0.209797683633,10325.0
6744,6413,7519,1,950,20,0.902115252456,21063.0
17951,6413,493,1,950,20,0.725032750348,10497.0
22748,6413,9583,1,950,20,0.5436413500330001,465.0
17175,6414,6417,1,6900,60,0.31683185176600004,6687273.0
11561,6416,3729,1,8100,40,0.03477378211,568371.0
12032,6416,1099,1,1900,30,0.0626179913139,366414.0
17176,6417,6424,1,6900,60,0.356895751356,6687101.0
18518,6418,8460,1,1900,30,0.027382134496299997,420446.0
3603,6419,6239,1,8100,40,0.47133611093999994,383595.0
21446,6420,6293,1,1900,30,0.324609214983,363080.0
11789,6420,1319,1,1900,30,0.00537276633012,330426.0
8771,6421,7797,1,6900,60,0.0266050612897,228907.0
61,6422,6985,1,950,20,1.8503536817500001,10325.0
8748,6423,6399,1,950,20,0.0627340936856,397708.0
577,6424,6426,1,6900,60,0.28577620174,6686929.0
14579,6425,9014,1,5400,40,0.0394282507482,183446.0
573,6426,5839,1,6900,60,0.32119496811799997,6686757.0
11563,6427,1053,1,8100,40,0.0302709195345,477711.0
11575,6427,839,1,8100,40,0.40984441525799997,527217.0
19044,6428,4961,1,5400,40,0.702395971114,15240.0
26034,6428,6446,1,5400,40,0.186553000394,35980.0
3351,6429,6196,1,8100,40,0.404914114445,547885.0
1393,6430,10299,1,950,20,4.8803715716300005,18177.0
24956,6430,10499,1,5400,40,3.0336300824,906610.0
11262,6430,8925,1,5400,40,1.72987854914,825459.0
16765,6431,4315,1,5400,40,6.0485638381,730.0
162,6431,7166,1,1900,30,2.04501065739,10497.0
27868,6431,630,1,5400,40,5.96034333764,211509.0
20902,6432,7660,1,950,20,0.153033818678,23.0
3619,6432,7028,1,950,20,0.20326183054000002,10323.0
3599,6432,5270,1,950,20,1.36753289549,67.0
11182,6433,8468,1,1900,30,0.0205063773616,196659.0
21948,6434,2193,1,950,20,0.05304805368340001,10270.0
7613,6434,7314,1,950,20,0.155445707513,325981.0
5385,6434,7307,1,950,20,0.183284461258,1.0
12800,6435,8143,1,5400,40,0.0263248372075,784338.0
12913,6435,8151,1,5400,40,0.0348046454313,147608.0
575,6436,6441,1,6900,60,0.406467402938,2291358.0
4634,6436,7111,1,8100,40,0.328005520837,3361211.0
7366,6437,6439,1,6900,60,0.058602917646199994,577506.0
17394,6438,2825,1,950,20,0.21022659236299998,167696.0
373,6438,7782,1,950,20,2.80405897282,185562.0
7368,6439,4887,1,6900,60,0.155566171503,577334.0
7367,6440,4982,1,6900,60,0.054425418812,948335.0
576,6441,6598,1,6900,60,0.444239780917,4192180.0
561,6442,6445,1,5400,40,0.0771489568187,1690584.0
1083,6443,1185,1,5400,40,0.143500053184,83515.0
21018,6444,4024,1,5400,40,0.22622703854899998,66144.0
15515,6444,3793,1,5400,40,0.07023593440419999,531235.0
13511,6445,1188,1,5400,40,0.20636589023899998,1690412.0
26032,6446,1723,1,5400,40,0.12752841535,35856.0
13452,6446,6428,1,5400,40,0.186553000394,5116.0
24572,6447,8106,1,1900,30,0.713074599952,44748.0
11974,6447,2564,1,1900,30,0.0360807792331,150525.0
25292,6447,7282,1,950,20,1.7446966887200002,87652.0
1055,6448,6451,1,8100,40,0.249279194014,284155.0
17058,6449,9419,1,1900,30,0.009207486993440001,13963.0
11148,6449,5654,1,8100,40,0.041436745667199994,859245.0
7369,6450,6443,1,5400,40,0.07544331150889999,83687.0
13430,6451,6453,1,8100,40,0.0734572990526,283983.0
6312,6452,1871,1,6900,60,0.0532721004449,8488790.0
13419,6453,6675,1,8100,40,0.235676551994,283811.0
25300,6454,6467,1,1900,30,0.034598953751800006,134663.0
11964,6454,5063,1,1900,30,0.17282635520999998,60974.0
3399,6455,5306,1,950,20,1.7834975813,52127.0
20762,6455,5935,1,950,20,0.0594799844542,1.0
28294,6456,7716,1,1900,30,0.18133282438999998,6466.0
14879,6456,646,1,1900,30,0.0673940306346,75735.0
9238,6457,6475,1,1900,30,0.0619299835597,68870.0
9056,6457,6476,1,1900,30,0.038556485986699994,170581.0
10132,6458,9424,1,8100,40,0.145295968112,124766.0
28098,6458,5061,1,8100,40,0.0819720922425,121319.0
5257,6459,6477,1,8100,40,0.335628175857,62088.0
16815,6459,10518,1,6900,60,0.154021611708,3801647.0
25426,6460,10391,1,950,20,0.0230625883106,21284.0
27014,6461,4928,1,950,20,3.8863148924599997,60177.0
19562,6461,10841,1,5400,40,0.688428430281,105311.0
801,6461,5191,1,5400,40,1.31653382657,197555.0
13428,6462,6464,1,8100,40,0.0340386194979,95279.0
28106,6462,5589,1,8100,40,0.077557381069,92567.0
8548,6463,6840,1,1900,30,0.040609089480499995,727.0
4946,6463,6221,1,5400,40,0.0557483596559,1023917.0
21674,6463,7583,1,5400,40,0.0583367769809,445224.0
2161,6464,4638,1,5400,40,0.00653682558203,129280.0
3373,6465,6419,1,8100,40,0.0645611844434,383767.0
8423,6466,5090,1,950,20,0.44735395824100005,10342.0
23530,6466,1141,1,950,20,0.090457910748,10321.0
25302,6467,2564,1,1900,30,0.0149685359874,144817.0
11975,6467,6468,1,950,20,0.0665407333953,56816.0
11970,6467,6454,1,1900,30,0.034598953751800006,71318.0
